os,timestamp,exception,matrixName,matrixSize,rows,cols,nonZeros,loadTime,loadMem,decompTime,decompMem,solveTime,solveMem,relativeError
win64,21-May-2025 15:00:12,Algorithm did not succeed. - Internal error in library CHOLMOD.,Flan_1565,1839164312,1564794,1564794,114165372,4839.80690050154,1909100544,0,0,0,0,0
win64,21-May-2025 15:06:04,,G3_circuit,135257048,1585478,1585478,7660826,461.9562201579,135532544,12460.9752999735,3056996352,863.954796175149,12713984,4.08525192330452e-12
win64,21-May-2025 15:06:30,Algorithm did not succeed. - Internal error in library CHOLMOD.,StocF-1465,347807328,1465137,1465137,21005389,1584.9651019052,348504064,0,0,0,0,0
win64,21-May-2025 15:16:22,,apache2,82807336,715176,715176,4817870,336.789123969221,82968576,9821.0964999535,2854506496,536.946598529772,5730304,4.71942528553624e-11
win64,21-May-2025 15:16:45,,cfd1,29774536,70656,70656,1825580,225.464555078213,29270016,1820.24089948681,587505664,144.289294428129,0,8.56154902697805e-14
win64,21-May-2025 15:16:58,,cfd2,50354024,123440,123440,3085406,328.718609274114,58208256,4998.34789955526,1168306176,275.176996646368,0,2.98311560168816e-13
win64,21-May-2025 15:17:15,,ex15,1633696,6867,6867,98671,133.071063291366,0,75.546250192141,3653632,52.9107622252509,0,9.26279945690845e-07
win64,21-May-2025 15:17:25,,parabolic_fem,63000608,525825,525825,3674625,323.442408106472,67354624,2532.8216994973,587714560,191.81669175926,4214784,2.05709867500227e-12
win64,21-May-2025 15:17:39,,shallow_water1,5898248,81920,81920,327680,139.613119004513,5263360,270.287396782745,37801984,68.4499873968732,0,2.66219585650564e-16
