os,timestamp,exception,matrixName,matrixSize,rows,cols,nonZeros,loadTime,loadMem,decompTime,decompMem,solveTime,solveMem,relativeError
glnxa64,21-May-2025 15:20:59,,G3_circuit,135257048,1585478,1585478,7660826,2524.773,150210864,20900.822,1.84467440725677e+19,914.16968541667,12989120,4.08525192330452e-12
glnxa64,21-May-2025 15:21:38,,apache2,82807336,715176,715176,4817870,1714.257,84179728,12956.064,1.84467440722579e+19,602.812,6023344,4.71942528553624e-11
glnxa64,21-May-2025 15:22:07,,cfd1,29774536,70656,70656,1825580,1638.138,28671632,3056.093,575468864,207.712952348639,867152,8.56154902697805e-14
glnxa64,21-May-2025 15:22:23,,cfd2,50354024,123440,123440,3085406,1963.651,53522880,5194.473,1179223184,272.088,1285680,2.98311560168816e-13
glnxa64,21-May-2025 15:22:41,,ex15,1633696,6867,6867,98671,609.865,2251920,64.3209057368969,4048496,51.4498882462622,358208,9.26279945690845e-07
glnxa64,21-May-2025 15:22:52,,parabolic_fem,63000608,525825,525825,3674625,1513.902,67782800,2329.196,586109120,204.519,4508544,2.05709867500227e-12
glnxa64,21-May-2025 15:23:07,,shallow_water1,5898248,81920,81920,327680,666.162,6459344,221.388,39324576,53.439,956960,2.66219585650564e-16
