os,blas,numThreads,timestamp,matrixName,rows,cols,nonZeros,loadTime,loadMem,decompTime,decompMem,decompPeakMem,solveTime,solveMem,solvePeakMem,relativeError
Windows,OpenBLAS,8,2025-05-21 11:30:24.3900582,Flan_1565,1564794,1564794,117406044,9972.1588,1891015064,77451.3259,22316964832,15153677176,74632.8694,25083360,25083360,1.895387165970824e-12
Windows,OpenBLAS,8,2025-05-21 11:33:17.2192950,parabolic_fem,525825,525825,3674625,541.4171,63000608,1962.3118,725188360,494144584,85.9086,8421880,8421880,7.035758911670729e-13
Windows,OpenBLAS,8,2025-05-21 11:33:24.9522612,StocF-1465,1465137,1465137,21005389,2255.5885,347807328,69556.3971,11966096720,10594422296,1317.4011,23497736,23497736,3.7041703567055756e-10
Linux,MKL,4,2025-05-21 11:56:36.221674665,ex15,6867,6867,98671,31.327559,1633680,123.23398,10066112,4412752,14.609858,110632,110632,6.931625170507896e-07
Linux,MKL,4,2025-05-21 11:56:41.444953647,G3_circuit,1585478,1585478,7660826,741.104729,135257048,14283.545929,1864191496,1284044936,269.083533,25380136,25380136,3.4002380019243898e-12
Linux,MKL,4,2025-05-21 11:57:01.805835671,shallow_water1,81920,81920,327680,79.902412,5898248,345.421798,71736592,48470736,25.508579,1315568,1315568,2.357676837556243e-16
Linux,MKL,4,2025-05-21 11:57:07.292410817,apache2,715176,715176,4817870,409.148726,82807336,10544.041774,1819149680,1475723432,185.341648,11464600,11464600,3.255039186710707e-11
Linux,MKL,4,2025-05-21 11:57:23.480159186,cfd1,70656,70656,1828364,277.54203,29819080,1994.842706,347248432,232176064,98.787724,1140360,1140360,6.309387620752953e-14
Linux,MKL,4,2025-05-21 11:57:30.896632505,cfd2,123440,123440,3087898,296.725742,50393896,2286.372845,609957832,415301840,53.032634,1986776,1986776,2.2123612648222464e-13
Linux,MKL,4,2025-05-21 11:57:38.571608245,Flan_1565,1564794,1564794,117406044,9640.235546,1891015064,110872.8761,22316964832,15153677176,342484.395954,25083360,25083360,2.8694034420969426e-12
Linux,MKL,4,2025-05-21 12:05:50.202843755,parabolic_fem,525825,525825,3674625,2935.924943,63000608,4019.539564,725188360,494144584,187.920425,8421880,8421880,1.062685477036382e-12
Linux,MKL,4,2025-05-21 12:06:02.435603163,StocF-1465,1465137,1465137,21005389,2380.915059,347807328,110399.394273,11966096720,10594422296,189277.252539,23497736,23497736,3.7805720801723227e-10
Linux,OpenBLAS,8,2025-05-21 12:11:20.972807600,ex15,6867,6867,98671,45.043137,1633680,51.062796,10066112,4412752,10.195707,110632,110632,5.812728631817556e-07
Linux,OpenBLAS,8,2025-05-21 12:11:26.107611678,G3_circuit,1585478,1585478,7660826,1090.433964,135257048,19727.080779,1864191496,1284044936,364.360194,25380136,25380136,3.9151418924591676e-12
Linux,OpenBLAS,8,2025-05-21 12:11:52.337747041,shallow_water1,81920,81920,327680,76.505373,5898248,1253.646738,71736592,48470736,14.756101,1315568,1315568,2.0161897760791624e-16
Linux,OpenBLAS,8,2025-05-21 12:11:58.716196781,apache2,715176,715176,4817870,441.082345,82807336,13873.165423,1819149680,1475723432,251.619094,11464600,11464600,3.536732252676295e-11
Linux,OpenBLAS,8,2025-05-21 12:12:18.320061632,cfd1,70656,70656,1828364,241.012344,29819080,2605.011115,347248432,232176064,32.392063,1140360,1140360,7.523707364562961e-14
Linux,OpenBLAS,8,2025-05-21 12:12:26.220989688,cfd2,123440,123440,3087898,269.949783,50393896,3136.532078,609957832,415301840,54.084213,1986776,1986776,1.87317744838399e-13
Linux,OpenBLAS,8,2025-05-21 12:12:34.710404232,Flan_1565,1564794,1564794,117406044,9085.956302,1891015064,146000.765108,22316964832,15153677176,384376.215247,25083360,25083360,2.1087696285275706e-12
Linux,OpenBLAS,8,2025-05-21 12:22:04.891687193,parabolic_fem,525825,525825,3674625,3606.833058,63000608,9661.011149,725188360,494144584,134.481971,8421880,8421880,7.064194119365642e-13
Linux,OpenBLAS,8,2025-05-21 12:22:23.331689366,StocF-1465,1465137,1465137,21005389,2302.513628,347807328,108512.305157,11966096720,10594422296,211178.474522,23497736,23497736,3.68953206829313e-10
